Date,state,cases_new,cases_recovered,cases_active,cases_child,cases_adolescent,cases_adult,cases_elderly
2020-01-25,Melaka,0,0,0,0,0,0,0
2020-01-26,Melaka,0,0,0,0,0,0,0
2020-01-27,Melaka,0,0,0,0,0,0,0
2020-01-28,Melaka,0,0,0,0,0,0,0
2020-01-29,Melaka,0,0,0,0,0,0,0
2020-01-30,Melaka,0,0,0,0,0,0,0
2020-01-31,Melaka,0,0,0,0,0,0,0
2020-02-01,Melaka,0,0,0,0,0,0,0
2020-02-02,Melaka,0,0,0,0,0,0,0
2020-02-03,Melaka,0,0,0,0,0,0,0
2020-02-04,Melaka,0,0,0,0,0,0,0
2020-02-05,Melaka,0,0,0,0,0,0,0
2020-02-06,Melaka,0,0,0,0,0,0,0
2020-02-07,Melaka,0,0,0,0,0,0,0
2020-02-08,Melaka,0,0,0,0,0,0,0
2020-02-09,Melaka,0,0,0,0,0,0,0
2020-02-10,Melaka,0,0,0,0,0,0,0
2020-02-11,Melaka,0,0,0,0,0,0,0
2020-02-12,Melaka,0,0,0,0,0,0,0
2020-02-13,Melaka,0,0,0,0,0,0,0
2020-02-14,Melaka,0,0,0,0,0,0,0
2020-02-15,Melaka,0,0,0,0,0,0,0
2020-02-16,Melaka,0,0,0,0,0,0,0
2020-02-17,Melaka,0,0,0,0,0,0,0
2020-02-18,Melaka,0,0,0,0,0,0,0
2020-02-19,Melaka,0,0,0,0,0,0,0
2020-02-20,Melaka,0,0,0,0,0,0,0
2020-02-21,Melaka,0,0,0,0,0,0,0
2020-02-22,Melaka,0,0,0,0,0,0,0
2020-02-23,Melaka,0,0,0,0,0,0,0
2020-02-24,Melaka,0,0,0,0,0,0,0
2020-02-25,Melaka,0,0,0,0,0,0,0
2020-02-26,Melaka,0,0,0,0,0,0,0
2020-02-27,Melaka,0,0,0,0,0,0,0
2020-02-28,Melaka,0,0,0,0,0,0,0
2020-02-29,Melaka,0,0,0,0,0,0,0
2020-03-01,Melaka,0,0,0,0,0,0,0
2020-03-02,Melaka,0,0,0,0,0,0,0
2020-03-03,Melaka,0,0,0,0,0,0,0
2020-03-04,Melaka,0,0,0,0,0,0,0
2020-03-05,Melaka,0,0,0,0,0,0,0
2020-03-06,Melaka,0,0,0,0,0,0,0
2020-03-07,Melaka,0,0,0,0,0,0,0
2020-03-08,Melaka,0,0,0,0,0,0,0
2020-03-09,Melaka,0,0,0,0,0,0,0
2020-03-10,Melaka,0,0,0,0,0,0,0
2020-03-11,Melaka,1,0,1,0,0,0,1
2020-03-12,Melaka,0,0,1,0,0,0,0
2020-03-13,Melaka,0,0,1,0,0,0,0
2020-03-14,Melaka,5,0,6,0,0,5,0
2020-03-15,Melaka,7,0,13,0,0,6,1
2020-03-16,Melaka,1,0,14,0,1,0,0
2020-03-17,Melaka,3,0,17,0,0,1,2
2020-03-18,Melaka,1,0,18,0,0,0,1
2020-03-19,Melaka,2,0,20,0,0,2,0
2020-03-20,Melaka,2,0,22,0,0,2,0
2020-03-21,Melaka,0,0,21,0,0,0,0
2020-03-22,Melaka,1,0,22,0,0,0,1
2020-03-23,Melaka,2,0,24,0,0,2,0
2020-03-24,Melaka,6,0,29,0,0,5,1
2020-03-25,Melaka,2,0,31,0,0,2,0
2020-03-26,Melaka,0,0,31,0,0,0,0
2020-03-27,Melaka,0,0,31,0,0,0,0
2020-03-28,Melaka,9,0,40,0,1,7,1
2020-03-29,Melaka,1,0,41,0,0,1,0
2020-03-30,Melaka,7,0,48,0,0,5,2
2020-03-31,Melaka,2,0,50,0,0,2,0
2020-04-01,Melaka,11,0,61,0,0,8,3
2020-04-02,Melaka,7,0,68,0,2,5,0
2020-04-03,Melaka,3,0,71,0,0,2,1
2020-04-04,Melaka,2,0,73,0,0,1,1
2020-04-05,Melaka,14,0,87,1,6,6,1
2020-04-06,Melaka,10,0,97,2,1,6,1
2020-04-07,Melaka,4,0,101,0,0,2,2
2020-04-08,Melaka,13,0,114,0,7,6,0
2020-04-09,Melaka,3,0,116,0,1,2,0
2020-04-10,Melaka,14,0,130,0,3,10,1
2020-04-11,Melaka,8,22,116,0,3,5,0
2020-04-12,Melaka,3,3,116,0,0,2,1
2020-04-13,Melaka,0,5,110,0,0,0,0
2020-04-14,Melaka,3,3,110,1,0,2,0
2020-04-15,Melaka,0,0,110,0,0,0,0
2020-04-16,Melaka,0,12,98,0,0,0,0
2020-04-17,Melaka,1,1,98,0,0,1,0
2020-04-18,Melaka,0,4,94,0,0,0,0
2020-04-19,Melaka,37,0,131,1,2,34,0
2020-04-20,Melaka,2,11,122,0,1,1,0
2020-04-21,Melaka,1,11,112,0,1,0,0
2020-04-22,Melaka,1,2,111,0,1,0,0
2020-04-23,Melaka,0,11,100,0,0,0,0
2020-04-24,Melaka,3,1,102,0,2,1,0
2020-04-25,Melaka,0,17,85,0,0,0,0
2020-04-26,Melaka,1,8,78,0,0,1,0
2020-04-27,Melaka,0,0,78,0,0,0,0
2020-04-28,Melaka,0,2,76,0,0,0,0
2020-04-29,Melaka,0,0,76,0,0,0,0
2020-04-30,Melaka,5,2,79,0,1,4,0
2020-05-01,Melaka,1,0,80,0,0,1,0
2020-05-02,Melaka,2,0,82,1,1,0,0
2020-05-03,Melaka,3,17,68,1,0,2,0
2020-05-04,Melaka,3,0,71,0,3,0,0
2020-05-05,Melaka,0,6,65,0,0,0,0
2020-05-06,Melaka,1,16,50,0,0,1,0
2020-05-07,Melaka,1,0,51,0,0,1,0
2020-05-08,Melaka,0,0,51,0,0,0,0
2020-05-09,Melaka,1,0,51,0,0,1,0
2020-05-10,Melaka,0,2,49,0,0,0,0
2020-05-11,Melaka,1,1,49,0,1,0,0
2020-05-12,Melaka,0,1,48,0,0,0,0
2020-05-13,Melaka,2,0,50,1,0,1,0
2020-05-14,Melaka,1,5,46,0,0,1,0
2020-05-15,Melaka,1,1,46,0,0,1,0
2020-05-16,Melaka,0,2,44,0,0,0,0
2020-05-17,Melaka,0,8,36,0,0,0,0
2020-05-18,Melaka,0,4,32,0,0,0,0
2020-05-19,Melaka,0,0,32,0,0,0,0
2020-05-20,Melaka,0,7,25,0,0,0,0
2020-05-21,Melaka,0,0,25,0,0,0,0
2020-05-22,Melaka,1,0,26,0,0,1,0
2020-05-23,Melaka,0,2,24,0,0,0,0
2020-05-24,Melaka,0,2,22,0,0,0,0
2020-05-25,Melaka,0,0,22,0,0,0,0
2020-05-26,Melaka,0,3,19,0,0,0,0
2020-05-27,Melaka,0,0,19,0,0,0,0
2020-05-28,Melaka,0,3,16,0,0,0,0
2020-05-29,Melaka,0,4,12,0,0,0,0
2020-05-30,Melaka,2,0,14,0,0,1,1
2020-05-31,Melaka,1,1,14,0,1,0,0
2020-06-01,Melaka,13,0,27,0,0,13,0
2020-06-02,Melaka,1,0,28,0,0,1,0
2020-06-03,Melaka,0,0,28,0,0,0,0
2020-06-04,Melaka,0,0,28,0,0,0,0
2020-06-05,Melaka,1,0,29,0,0,0,1
2020-06-06,Melaka,0,0,29,0,0,0,0
2020-06-07,Melaka,0,0,29,0,0,0,0
2020-06-08,Melaka,1,0,30,0,0,1,0
2020-06-09,Melaka,0,0,30,0,0,0,0
2020-06-10,Melaka,0,0,30,0,0,0,0
2020-06-11,Melaka,11,0,41,0,0,11,0
2020-06-12,Melaka,4,0,45,0,0,4,0
2020-06-13,Melaka,2,1,46,1,0,0,1
2020-06-14,Melaka,1,2,45,0,0,0,1
2020-06-15,Melaka,2,0,47,0,1,1,0
2020-06-16,Melaka,0,11,36,0,0,0,0
2020-06-17,Melaka,0,0,36,0,0,0,0
2020-06-18,Melaka,0,2,34,0,0,0,0
2020-06-19,Melaka,0,1,33,0,0,0,0
2020-06-20,Melaka,0,12,21,0,0,0,0
2020-06-21,Melaka,1,0,22,0,0,1,0
2020-06-22,Melaka,0,0,22,0,0,0,0
2020-06-23,Melaka,0,1,21,0,0,0,0
2020-06-24,Melaka,0,3,18,0,0,0,0
2020-06-25,Melaka,0,4,14,0,0,0,0
2020-06-26,Melaka,0,3,11,0,0,0,0
2020-06-27,Melaka,0,1,10,0,0,0,0
2020-06-28,Melaka,0,1,9,0,0,0,0
2020-06-29,Melaka,0,3,6,0,0,0,0
2020-06-30,Melaka,0,1,5,0,0,0,0
2020-07-01,Melaka,0,1,4,0,0,0,0
2020-07-02,Melaka,0,0,4,0,0,0,0
2020-07-03,Melaka,0,3,1,0,0,0,0
2020-07-04,Melaka,0,0,1,0,0,0,0
2020-07-05,Melaka,0,0,1,0,0,0,0
2020-07-06,Melaka,0,1,0,0,0,0,0
2020-07-07,Melaka,0,0,0,0,0,0,0
2020-07-08,Melaka,0,0,0,0,0,0,0
2020-07-09,Melaka,0,0,0,0,0,0,0
2020-07-10,Melaka,0,0,0,0,0,0,0
2020-07-11,Melaka,0,0,0,0,0,0,0
2020-07-12,Melaka,1,0,1,0,0,1,0
2020-07-13,Melaka,1,0,2,0,0,1,0
2020-07-14,Melaka,0,0,2,0,0,0,0
2020-07-15,Melaka,0,0,2,0,0,0,0
2020-07-16,Melaka,0,0,2,0,0,0,0
2020-07-17,Melaka,0,0,2,0,0,0,0
2020-07-18,Melaka,0,0,2,0,0,0,0
2020-07-19,Melaka,0,0,2,0,0,0,0
2020-07-20,Melaka,0,0,2,0,0,0,0
2020-07-21,Melaka,0,0,2,0,0,0,0
2020-07-22,Melaka,0,0,2,0,0,0,0
2020-07-23,Melaka,0,0,2,0,0,0,0
2020-07-24,Melaka,0,0,2,0,0,0,0
2020-07-25,Melaka,0,1,1,0,0,0,0
2020-07-26,Melaka,0,0,1,0,0,0,0
2020-07-27,Melaka,0,0,1,0,0,0,0
2020-07-28,Melaka,0,0,1,0,0,0,0
2020-07-29,Melaka,0,0,1,0,0,0,0
2020-07-30,Melaka,0,0,1,0,0,0,0
2020-07-31,Melaka,0,1,0,0,0,0,0
2020-08-01,Melaka,0,0,0,0,0,0,0
2020-08-02,Melaka,0,0,0,0,0,0,0
2020-08-03,Melaka,0,0,0,0,0,0,0
2020-08-04,Melaka,0,0,0,0,0,0,0
2020-08-05,Melaka,0,0,0,0,0,0,0
2020-08-06,Melaka,0,0,0,0,0,0,0
2020-08-07,Melaka,0,0,0,0,0,0,0
2020-08-08,Melaka,0,0,0,0,0,0,0
2020-08-09,Melaka,0,0,0,0,0,0,0
2020-08-10,Melaka,1,0,1,0,0,1,0
2020-08-11,Melaka,0,0,1,0,0,0,0
2020-08-12,Melaka,0,0,1,0,0,0,0
2020-08-13,Melaka,0,0,1,0,0,0,0
2020-08-14,Melaka,0,0,1,0,0,0,0
2020-08-15,Melaka,0,0,1,0,0,0,0
2020-08-16,Melaka,0,0,1,0,0,0,0
2020-08-17,Melaka,0,0,1,0,0,0,0
2020-08-18,Melaka,0,1,0,0,0,0,0
2020-08-19,Melaka,0,0,0,0,0,0,0
2020-08-20,Melaka,0,0,0,0,0,0,0
2020-08-21,Melaka,0,0,0,0,0,0,0
2020-08-22,Melaka,0,0,0,0,0,0,0
2020-08-23,Melaka,0,0,0,0,0,0,0
